idx: 0, pixel importance: 1.0622239112854004
idx: 1, pixel importance: 0.9802700877189636
idx: 2, pixel importance: 1.1377657651901245
idx: 3, pixel importance: 0.8990679979324341
idx: 4, pixel importance: 0.8719468712806702
idx: 5, pixel importance: 0.72861647605896
idx: 6, pixel importance: 0.703565239906311
idx: 7, pixel importance: 0.6849029064178467
idx: 8, pixel importance: 0.4588833153247833
idx: 9, pixel importance: 0.44531336426734924
idx: 10, pixel importance: 0.4555723965167999
idx: 11, pixel importance: 0.5569348335266113
idx: 12, pixel importance: 0.5788503289222717
idx: 13, pixel importance: 0.38995760679244995
idx: 14, pixel importance: 0.5188013911247253
idx: 15, pixel importance: 0.8434804677963257
idx: 16, pixel importance: 0.6974545121192932
idx: 17, pixel importance: 0.36299651861190796
idx: 18, pixel importance: 0.5065479874610901
idx: 19, pixel importance: 0.5201536417007446
idx: 20, pixel importance: 0.4553060233592987
idx: 21, pixel importance: 0.5629101991653442
idx: 22, pixel importance: 0.6881463527679443
idx: 23, pixel importance: 0.5495428442955017
idx: 24, pixel importance: 0.5465033054351807
idx: 25, pixel importance: 0.4100183844566345
idx: 26, pixel importance: 0.36655479669570923
idx: 27, pixel importance: 0.4469608962535858
idx: 28, pixel importance: 0.48401275277137756
idx: 29, pixel importance: 0.5018447637557983
idx: 30, pixel importance: 0.5513542890548706
idx: 31, pixel importance: 0.6029654145240784
idx: 32, pixel importance: 0.6504034399986267
idx: 33, pixel importance: 0.5093162059783936
idx: 34, pixel importance: 0.5167909860610962
idx: 35, pixel importance: 0.6710789203643799
idx: 36, pixel importance: 0.5903042554855347
idx: 37, pixel importance: 0.6290319561958313
idx: 38, pixel importance: 0.6828157901763916
idx: 39, pixel importance: 0.7495825886726379
idx: 40, pixel importance: 0.5974324941635132
idx: 41, pixel importance: 0.5113117694854736
idx: 42, pixel importance: 0.6022813320159912
idx: 43, pixel importance: 0.5796351432800293
idx: 44, pixel importance: 0.651701807975769
idx: 45, pixel importance: 0.6203362345695496
idx: 46, pixel importance: 0.7230387330055237
idx: 47, pixel importance: 0.6693298816680908
idx: 48, pixel importance: 0.5555205345153809
idx: 49, pixel importance: 0.5038120150566101
idx: 50, pixel importance: 0.5748668909072876
idx: 51, pixel importance: 0.7008731365203857
idx: 52, pixel importance: 0.5215807557106018
idx: 53, pixel importance: 0.4917370080947876
idx: 54, pixel importance: 0.5071640014648438
idx: 55, pixel importance: 0.5321357250213623
idx: 56, pixel importance: 0.41481444239616394
idx: 57, pixel importance: 0.4738711416721344
idx: 58, pixel importance: 0.4023410379886627
idx: 59, pixel importance: 0.4390908479690552
idx: 60, pixel importance: 0.4821970462799072
idx: 61, pixel importance: 0.41437432169914246
idx: 62, pixel importance: 0.4200859069824219
idx: 63, pixel importance: 0.4199058413505554
idx: 64, pixel importance: 0.4479711949825287
idx: 65, pixel importance: 0.46330612897872925
idx: 66, pixel importance: 0.4552377462387085
idx: 67, pixel importance: 0.4369991421699524
idx: 68, pixel importance: 0.443278044462204
idx: 69, pixel importance: 0.4256735146045685
idx: 70, pixel importance: 0.3593097925186157
idx: 71, pixel importance: 0.3645355701446533
idx: 72, pixel importance: 0.3067042827606201
idx: 73, pixel importance: 0.2935047149658203
idx: 74, pixel importance: 0.33999961614608765
idx: 75, pixel importance: 0.3048504889011383
idx: 76, pixel importance: 0.3185547888278961
idx: 77, pixel importance: 0.3236474096775055
idx: 78, pixel importance: 0.3217094838619232
idx: 79, pixel importance: 0.37728404998779297
