idx: 0, pixel importance: 0.0027814030181616545
idx: 1, pixel importance: 0.003308693179860711
idx: 2, pixel importance: 0.002835027640685439
idx: 3, pixel importance: 0.0025175418704748154
idx: 4, pixel importance: 0.0030534835532307625
idx: 5, pixel importance: 0.003067696699872613
idx: 6, pixel importance: 0.0025689592584967613
idx: 7, pixel importance: 0.0027677679900079966
idx: 8, pixel importance: 0.003072728868573904
idx: 9, pixel importance: 0.0034391479566693306
idx: 10, pixel importance: 0.003167760092765093
idx: 11, pixel importance: 0.0032518627122044563
idx: 12, pixel importance: 0.0036364346742630005
idx: 13, pixel importance: 0.003613949054852128
idx: 14, pixel importance: 0.0032634343951940536
idx: 15, pixel importance: 0.0030590039677917957
idx: 16, pixel importance: 0.003182855900377035
idx: 17, pixel importance: 0.0029806008096784353
idx: 18, pixel importance: 0.0021716346964240074
idx: 19, pixel importance: 0.0026311269029974937
idx: 20, pixel importance: 0.002895320300012827
idx: 21, pixel importance: 0.0033108252100646496
idx: 22, pixel importance: 0.0021095178090035915
idx: 23, pixel importance: 0.0023658613208681345
idx: 24, pixel importance: 0.002448626095429063
idx: 25, pixel importance: 0.0024253567680716515
idx: 26, pixel importance: 0.0028776314575225115
idx: 27, pixel importance: 0.002839147113263607
idx: 28, pixel importance: 0.003078435081988573
idx: 29, pixel importance: 0.0030919727869331837
idx: 30, pixel importance: 0.002676148433238268
idx: 31, pixel importance: 0.002247361931949854
idx: 32, pixel importance: 0.0029669220093637705
idx: 33, pixel importance: 0.0030101044103503227
idx: 34, pixel importance: 0.0030062494333833456
idx: 35, pixel importance: 0.002093042479828
idx: 36, pixel importance: 0.002626411383971572
idx: 37, pixel importance: 0.0026199810672551394
idx: 38, pixel importance: 0.002833760343492031
idx: 39, pixel importance: 0.0024563290644437075
idx: 40, pixel importance: 0.002871858887374401
idx: 41, pixel importance: 0.002696102485060692
idx: 42, pixel importance: 0.002798784989863634
idx: 43, pixel importance: 0.0024692630395293236
idx: 44, pixel importance: 0.002272601705044508
idx: 45, pixel importance: 0.003220620797947049
idx: 46, pixel importance: 0.002747883787378669
idx: 47, pixel importance: 0.003176672151312232
idx: 48, pixel importance: 0.0035185543820261955
idx: 49, pixel importance: 0.0029263042379170656
idx: 50, pixel importance: 0.003077492816373706
idx: 51, pixel importance: 0.002763985190540552
idx: 52, pixel importance: 0.0032120358664542437
idx: 53, pixel importance: 0.0032050483860075474
idx: 54, pixel importance: 0.0030490008648484945
idx: 55, pixel importance: 0.0027965425979346037
idx: 56, pixel importance: 0.003037059912458062
idx: 57, pixel importance: 0.003264541272073984
idx: 58, pixel importance: 0.0038487131241708994
idx: 59, pixel importance: 0.0029557913076132536
idx: 60, pixel importance: 0.0033071518409997225
idx: 61, pixel importance: 0.0037520388141274452
idx: 62, pixel importance: 0.003014384303241968
idx: 63, pixel importance: 0.00325082428753376
