idx: 0, pixel importance: 0.003094719024375081
idx: 1, pixel importance: 0.0030725684482604265
idx: 2, pixel importance: 0.0025995513424277306
idx: 3, pixel importance: 0.0031568212434649467
idx: 4, pixel importance: 0.0027648943942040205
idx: 5, pixel importance: 0.0029515207279473543
idx: 6, pixel importance: 0.003230531234294176
idx: 7, pixel importance: 0.0025983350351452827
idx: 8, pixel importance: 0.0031816193368285894
idx: 9, pixel importance: 0.002821998903527856
idx: 10, pixel importance: 0.0031489103566855192
idx: 11, pixel importance: 0.0030281897634267807
idx: 12, pixel importance: 0.0033380663953721523
idx: 13, pixel importance: 0.0031681477557867765
idx: 14, pixel importance: 0.002976169576868415
idx: 15, pixel importance: 0.0027234703302383423
